MT-TF	TrnF,RF00005,TRNF,TRNA,MTTF
DEFB108C	DEFB108P2,DEFB108P1
KSR1P1	--
IGKV1OR10-1	IGKV1/OR10-1
FAM90A22P	FAM90A22
LILRA3	LIR-4,ILT6,LIR4,ILT-6,HM43,HM31,CD85e,CD85E
OR7E157P	--
PABPC1P8	--
HSPD1P3	HSPD1-7P,HSP60P3,HSP60P1,HSP60P4,HSPDP1,HSPDP3,HSPDP4
FAM90A21P	--
ZNF705G	--
LILRA6	ILT8,CD85b,LILRB6,ILT-8,LILRB3,ILT5
DEFB107B	HsT21816,DEFB107,DEFB-7,DEFB7,BD-7
FAM90A6P	--
SPAG11B	HE2,EP2,EDDM2B,EP2C,EP2D,SPAG11A,SPAG11,HE2C,He2
RNA5-8SN4	RNA5-8S5,RN5-8S1
DEFB106B	DEFB-6,BD-6,DEFB106,DEFB6,BD6
FAM66B	NONHSAG049441.2,HSALNG0063184,HSALNG0063196,FAM66E,FAM66B
FAM90A23P	FAM90A23
PRAMEF5	PRAMEF5L,PRAMEF23
PRAMEF22	PRAMEF3L
PRAMEF18	--
LILRA2	LIR-7,ILT1,LIR7,CD85h,CD85H,ILT-1
ZFP57	ZNF698,BA145L22.2,BA145L22,C6orf40,Zfp-57,TNDM1
OR2H5P	Hs6M1-13,HS271M21,OR2H5,OLFR42B,OR6-33,OR6-35,OR2H7
OR5V1	Hs6M1-21,6M1-21
GPR53P	DJ271M21.8,PsiGPR53
OR2J2	Hs6M1-6,OR6-8,DJ80I19.4,OR6.3.8,OR6-19,ORL684
PRAMEF8	PRAMEF24
TMEM183AP1	BPG126D10.10,OTTHUMG00000086663
HLA-DRB9	D6S206E,D6S206,HLA-DR1BL,HLA-DRB1L
MSH5-SAPCD1	MSH5-C6orf26,NONHSAG045947.2,NONHSAG045592.2,NONHSAG046277.2,NONHSAG045762.2,NONHSAG046276.2,NONHSAG045594.2,NONHSAG046643.2,NONHSAG045948.2,NONHSAG045593.2,NONHSAG045761.2,NONHSAG046642.2,HSALNG0049323,HSALNG0049321,HSALNG0049322,HSALNG0049319,MSH5
DENND11	KIAA1147,LCHN,PRO2561
MYOM2	Myomesin-2,M-Protein,TTNAP
HNRNPCL2	HNRNPCP5
PRAMEF25	--
HLA-G	HLA-6.0,MHC-G,HLAG
WEE2-AS1	NONHSAG048977.2,HSALNG0061854,WEE2-AS1
HNRNPCL4	HNRNPCL3
PRAMEF33	PRAMEF33P
PRAMEF9	--
MYL6P5	--
BTG3-AS1	ASBEL,NONHSAG032445.2,HSALNG0132108,BTG3-AS1
SSBP1	MtSSB,SSBP,Mt-SSB,SOSS-B1,OPA13
BTG3	ANA,ANA/BTG3,APRO4,Tob55,TOB5,TOB55,TOFA
RPL32P1	RPL32-L,RPL32P,RPL32_6_681
OR2J1	Hs6M1-4,OR6-5,DJ80I19.2,OR2J1P,6M1-4P,OR6-15
DDX39BP1	BAT1P1
HCG4P8	HCGIV-08,HCGIV.7,HCGIV-8
DHX16	DBP2,PRPF2,DDX16,Prp2,KIAA0577,PRO2014,NMOAS,PRP8,PRP2
C22orf15	N27C7-3,FLJ36561
HLA-K	HLA-70,HLA70,HLAK
CABIN1	KIAA0330,PPP3IN,CAIN,KB-318B8.7
HSPA1B	HSP70-2,HSP70.2,HSP72,HSP70-1/HSP70-2,HSP70.1/HSP70.2,HSP70-1B,HSP70-1,HSP70.1,HSPA1,HSX70
SLC39A11	C17orf26,ZIP-11,ZIP11
GABBR1	GPRC3A,GABABR1,HGB1a,GABA-B-R1,GABBR1-3,GABA-BR1,GB1,Gb1
SMARCB1	BAF47,PPP1R144,SNF5L1,HSNFS,Sfh1p,Snr1,SNF5,RDT,HSNF5,Ini1,INI1,SWNTS1,MRD15,RTPS1,CSS3
CEACAM4	CGM7,CGM7_HUMAN,NCA
AGK	MULK,FLJ10842,HsMuLK,HAGK,CTRCT38,MTDPS10,CATC5,MuLK
TMEM179	TMEM179A,C14orf90,FLJ42486
CEACAMP3	CEACAM24P,CGM10
HLA-DRA	HLA-DRA1
PLEKHA3P1	PLEKHA3P
DNAJC19P2	--
KBTBD11-OT1	NONHSAG049372.2,HSALNG0062970,KBTBD11-OT1
CEACAM21	R29124_1,FLJ13540,CEACAM3
IFITM4P	DJ377H14.5
LINC01194	TAG,CT49,NONHSAG039927.2,HSALNG0040236,HSALNG0040241,HSALNG0040235,LINC01194
C14orf180	C14orf77,NRAC
WEE2	WEE1B,FLJ16107,OOMD5
BTNL2	BTL-II,HSBLMHC1,BTN7,SS2
KBTBD11	KLHDC7C,KIAA0711,CMLAP
LINC02569	TCONS_00011283,NONHSAG043411.2,NONHSAG046062.2,NONHSAG046216.2,HSALNG0049151,HSALNG0049154,HSALNG0049155,LINC02569
OR2J4P	DJ80I19.5,Hs6M1-5,OR6-9,OR6-20
HCG18	Em:AB014087.1,FLJ31598,FLJ25550,NONHSAG045570.2,NONHSAG046390.2,NONHSAG045872.2,NONHSAG046574.2,NONHSAG043403.2,NONHSAG046057.2,NONHSAG045682.2,HSALNG0049132,Lnc-TRIM26-2
FAM189A1	TMEM228,KIAA0574
ARHGEF10	KIAA0294,Gef10,GEF10,SNCV
DNAJC19P3	--
FAM20C	DMP4,G-CK,IMAGE:4942737,DKFZp547D065,GEF-CK,DMP-4,RNS
LINC01480	NONHSAG025869.2,HSALNG0126205,LINC01480
CEACAM7	CGM2,CEA
APBA2	D15S1518E,MGC:14091,HsT16821,LIN-10,MINT2,X11L,Mint-2,X11-Like,X11-BETA
DDR1-DT	BPG70P20.2,BCX111D4.7,BQB10J12.1,DDR1-AS1,TIGD1L,NONHSAG046084.2,NONHSAG045900.2,NONHSAG043438.2,HSALNG0049207,DDR1-DT
NEU1	Sialidase-1,NANH,NEU,Exo-Alpha-Sialidase,SIAL1
MIF	GIF,GLIF,MMIF
PATL2	Pat1a,HPat1a,OOMD4
TRIM69	RNF36,Trif,TRIMLESS,HSD-34,HSD34
DERL3	Derlin-3,C22orf14,IZP6,FLJ43842,MGC71803,LLN2,DERtrin-3,DER3
LILRB3	LIR-3,ILT5,LIR3,PIR-B,PIRB,HL9,CD85a,ILT-5,LILRA6,CD85A
ATP23	KUB3,XRCC6BP1
LINC02403	NONHSAG011466.2,HSALNG0091683,LINC02403
GIHCG	LncRNA-GIHCG,NONHSAG011461.2,HSALNG0091676,Lnc-CTDSP2-2
MAS1LP1	OTTHUMG00000086553,MAS1LP
HCG4	HCGIV-10,HCGIV.9,HCG4P10,NONHSAG043374.2,NONHSAG045549.2,NONHSAG046194.2,NONHSAG046367.2,NONHSAG045846.2,NONHSAG046551.2,NONHSAG046033.2,NONHSAG045655.2,HSALNG0141610,Lnc-ZFP57-16
SUMO2P1	DJ271M21,SMT3Bp,SMT3H2P,SUMO2P
MDC1-AS1	MDC1-AS,XXbac-BPG27H4.7,NONHSAG043427.2,NONHSAG045701.2,NONHSAG045580.2,NONHSAG045891.2,NONHSAG046228.2,NONHSAG046589.2,NONHSAG046074.2,HSALNG0049184,HSALNG0049188
RN7SKP65	--
ZNRD1ASP	HCGVIII-1,HCGVIII,HTEX4,Em:AB023056.3,NCRNA00171,ZNRD1-AS1,ZNRD1-AS,C6orf12,ZNRD1AS,HCG8,ZNRD1AS1,TCTEX4
SLC2A11	GLUT11,GLUT10,GLUT-11
OR2U1P	Hs6M1-24,OR2AU1P
TBX22	CLPA,CPX,DJ795G23.1,TBOX22,ABERS,TBXX
SORD2P	SORD2
HLA-T	HLA-16
POMZP3	POM-ZP3,POM121
OR2I1P	HS6M1-14,OR2I3P,OR2I4P,OR2I2,OR2I1,OR2I5P,OR2I7P,OR2I8P,OR2I9P,OR6-34,OR2I6,OR6-1
TSBP1-AS1	XXbac-BPG154L12.4,XXbac-BPG154L12.5,NONHSAG046310.2,NONHSAG043555.2,NONHSAG045792.2,NONHSAG045977.2,NONHSAG046143.2,NONHSAG043554.2,NONHSAG046672.2,NONHSAG043556.2,HSALNG0049394,HSALNG0049396,HCG23
LINC00533	C6orf39,BA373N24.1,C6orf38,NONHSAG043321.2,HSALNG0048990,LINC00533
LINC01556	DJ25J6.5,C6orf100,NONHSAG046344.2,NONHSAG046531.2,NONHSAG043336.2,NONHSAG046176.2,NONHSAG046011.2,NONHSAG045633.2,HSALNG0049022,LINC01556
PSORS1C1	SEEK1,C6orf16
SERPINF1	EPC-1,PIG35,PEDF,OI12,OI6
HLA-B	HLAB,AS,B-4901
B2M	Beta-2-Microglobin,IMD43
APOM	NG20,G3a,Apo-M,HSPC336,ApoM,G3A
SCARF1	SREC,KIAA0149,SREC1,SREC-I
RPS17P1	DJ994E9.1,RPS17p,RPS17_3_674
MICA	PERB11.1,MIC-A
WHAMMP2	WHAMML2,WHDC1L2
ABCB10P3	--
UPK3B	P35,UPIIIb,Uroplakin-3b,MGC10902,FLJ32198,UPIIIB,UP3B,UP3b
C4B_2	CPAMD3,CO4
TRIM26BP	TRIM26P1,Em:AB023053.1,TRIM26P
SPDYE16	--
RPSAP2	BA60E24.1,LAMR1P2,RPSA_15_672
PPP1R10	PNUTS,CAT53,FB19,P99,PP1R10,R111
DTX2	RNF58,KIAA1528,Deltex2,HDTX2
CTSO	CTSO1
HERC2P1	D15F37S2
OCA2	D15S12,BEY2,EYCL,BEY1,BEY,P,P-Protein,EYCL2,EYCL3,SHEP1,BOCA,HCL3,PED
ASIC5	HINAC,ACCN5,INAC,HINaC
TDO2	TDO,TPH2,Tryptophanase,TRPO,TO,HYPTRP
TLCD2	--
WDR81	PPP1R166,CAMRQ2,SORF-2,FLJ33817,HYC3
MROH5	FLJ43860
LINC01300	NONHSAG051423.2,HSALNG0069079,CTD-3064M3.1,LINC01300
HNRNPA1P38	--
PTP4A3	PRL-3,PRL-R,PRL3
MAMDC2-AS1	NONHSAG052521.2,HSALNG0071768,MAMDC2-AS1
MAMDC2	MGC21981,Mamcan
HCG17	NCRNA00046,LINC00046,NONHSAG046390.2,NONHSAG046057.2,NONHSAG043403.2,NONHSAG046574.2,NONHSAG045872.2,NONHSAG045570.2,NONHSAG045682.2,HSALNG0049132,Lnc-TRIM26-2,HCG18
U2	RF00004,U2
RPL5P32	RPL5_17_1422
FAM138D	F379,NONHSAG010118.2,HSALNG0088434,FAM138D
GPR20	CTD-3064M3.3
OR2AD1P	Hs6M1-8P,OR2AD1
PDCD6IPP2	--
MAS1L	MRG,DJ994E9.2,MAS-L,MAS1-Like,MAS-R
IQSEC3	KIAA1110,MGC30156
OR2H2	Hs6M1-12,FAT11,OLFR2,OR2H3,DJ271M21.2,OLFR42B
GOLGA8M	--
TRBV11-1	TCRBV11S1,TCRBV21S1,TRBV111
TRBV7-6	TCRBV6S3A1N1T,TCRBV7S6,TRBV76
ATAT1	MEC17,C6orf134,Em:AB023049.7,Alpha-TAT1,Alpha-TAT,FLJ13158,TAT,Nbla00487
NSMCE3	MAGEG1,HCA4,MAGEL3,NDNL2,NSE3,LICS
LILRB5	LIR-8,LIR8,CD85c,CD85C
TRBV10-1	TCRBV12S2A1T,TCRBV10S1,TCRBV12S2,TRBV101
HERC2P9	FLJ59185
TRBV5-2	TCRBV31S1,TCRBV5S2P,TRBV52
TRBV7-4	TCRBV6S8A2T,TCRBV7S4,TRBV74
TRBV5-5	TCRBV5S3A2T,TCRBV5S5,TRBV55
CES1P1	PCE-3,CES1A3,CESR,CES4,CES1A2
TRBV11-3	TCRBV21S2A2,TCRBV11S3,TRBV113
TRBV1	TCRBV27S1P,TCRBV1S1P
TRBV19	TCRBV17S1A1T,TCRBV19S1
CES5A	CES4C1,CAUXIN,CES5,CES7,FLJ31547,HEL126,Cauxin
TRBV12-4	TCRBV8S2A1T,TCRBV12S4,TRBV124
TRBV7-1	TCRBV6S7P,TCRBV7S1,TRBV71
RPL41P2	--
TRBV25-1	TCRBV11S1A1T,TCRBV25S1,TRBV251
TRBV17	TCRBV26S1P,TCRBV17S1
TRBV5-3	TCRBV5S5P,TCRBV5S3,TRBV53
TRBV7-9	TCRBV6S4A1,TCRBV7S9,TRBV79,TCRB
TRBV5-7	TCRBV5S7P,TCRBV5S7,TRBV57
DDX11L8	--
TRBV27	TCRBV14S1,TCRBV27S1
LY6G5C	NG33,C6orf20,G5c,G5C,LY6G5CA,LY6G5CB
HSP90AA4P	HSPCAL2,HSP90Ad,HSP90AD
TRBV7-2	TCRBV6S5A1N1,TCRBV7S2,TRBV72,TCRBV6S5A2
TRBV21-1	TCRBV10S1P,TCRBV21S1,TRBV211
LINC01262	TCONS_l2_00021807,RP11-462G22.1,NONHSAG039594.2,HSALNG0039360,LINC01262
TRPV5	ECAC1,CaT2,OTRPC3,TrpV5,ECaC1,CAT2,ECaC
WASH8P	--
SLC43A2	MGC34680,LAT4
HNRNPA1P2	DJ372B18.1,HNRPA1P2
TOMM40P4	--
STK19	G11,RP1,D6S60,HLA-RP1,D6S60E
CDRT15P3	C2orf27B,MGC50273,Lnc-MZT2A-7
CHRFAM7A	CHRNA7-DR1,D-10,NACHRA7,CHRNA7
HSPA1A	HSP70-1,HSPA1,HSP70.1,HSP72,HSP70-1/HSP70-2,HSP70.1/HSP70.2,HEL-S-103,HSP70-1A,HSP70-2,HSP70.2,HSP70I,HSX70
OR2P1P	Hs6M1-26
UBDP1	DJ994E9.3
HLA-F-AS1	NONHSAG043371.2,NONHSAG046030.2,NONHSAG045652.2,NONHSAG046192.2,NONHSAG045843.2,NONHSAG046548.2,NONHSAG046364.2,HSALNG0049088,HLA-F-AS1
HSPA1L	HSP70-HOM,Hum70t,HSP70-Hom,HSP70-1L,HSP70T
GPSM3	G18.1b,AGS4,G18,G18.1a,C6orf9,G18.2,NG1
ARHGAP11B	FAM7B1,B'-T
U8	U8,SNODB1944,SNODB1338,SNORD118,RF00096,LCC
RPH3AL-AS1	Lnc-C17orf97-3,HSALNG0113717
ARHGAP11A	KIAA0013
RPH3AL	Noc2,NOC2
TRBV12-5	TCRBV12S5,TCRBV8S3,TRBV125
MICC	PERB11.3
TRBJ2-2P	TRBJ22P
LSM2	YBL026W,C6orf28,G7b,G7B,SnRNP
PRSS3P3	TRY3
TRBJ1-6	TCRBJ1S6,TRBJ16
TRBJ1-5	TCRBJ1S5,TRBJ15
TRBV11-2	TCRBV21S3A2N2T,TCRBV11S2,TRBV112,NONHSAG048998.2,Lnc-MGAM2-1
TRBV20-1	TCRBV20S1,TCRBV2S1,TRBV201
HLA-DOB	HLA_DOB,DOB
TRBV10-2	TCRBV10S2,TCRBV12S3,TRBV102
LLCFC1	C7orf34,CTM-1,SOF1,Ctm-1
TRBV9	TCRBV1S1A1N1,TCRBV9S1
PRSS3P1	TRY5
TRBC1	BV05S1J2.2,TCRBC1,TCRB
TRBJ2-1	TCRBJ2S1,TRBJ21
TRY2P	TRY2P,Tryx5
ZBED9	Buster4,KIAA1925,ZNF305P2,ZFP38-L,SCAND3,ZNF452,FLJ31087,DJ1186N24.3
RPP21	C6orf135,Em:AB014085.3,FLJ22638,CAT60
OR12D2	Hs6M1-20,DJ994E9.8,HS6M1-20
TRPV6	ECAC2,CaT1,HSA277909,CaT-Like,ABP/ZF,HRPTTN,LP6728,TrpV6,CaT-L,ECaC2,CAT1,CATL,ZFAB
KRT18P1	DJ25J6.3
PRRT1	DSPD1,NG5,IFITMD7,C6orf31,SynDIG4
HLA-DRB3	HLA-DRB3*,HLA-DPB1,HLA-DR1B,HLA-DR3B,DRB3
RPL13AP	DJ271M21.3,RPL13A_5_675
OR12D3	Hs6M1-27
GNL1	HSR1
TRPM1	LTRPC1,CSNB1C,MLSN1,Melastatin-1,LTrpC1,MLSN
LY6G6E	G6e,C6orf22
HCG21	NCRNA00150,AB023048.2,NONHSAG043447.2,NONHSAG045715.2,HSALNG0049215,HCG21
RILP	FLJ31193,PP10141
MRPS18B	C6orf14,MRPS18-2,HSPC183,PTD017,MRP-S18-2,MRP-S18-B,Mrps18-B,S18mt-B,HumanS18a,S18amt
SPPL2C	IMP5,IMP-5,SPPL2c
MIR22HG	C17orf91,DKFZp686O06159,MGC14376,NONHSAG020474.2,HSALNG0113835,MIR22HG
RPS7P11	RPS7_6_1552
LINC02210	LINC.Tmp695175,CRHR1-IT1,FLJ25168,C17orf69,Lnc-LINC02210-CRHR1-52,NONHSAG022004.2,NONHSAG023141.2,NONHSAG023140.2,HSALNG0116892
TRBV6-7	TCRBV13S8P,TCRBV6S7,TRBV67
PRSS2	TRY2,Trypsin-2,TRYP2,TRY8
KANSL1-AS1	NONHSAG022018.2,NONHSAG023137.2,HSALNG0116913,KANSL1-AS1
TRBV7-3	TCRBV6S1A1N1,TCRBV7S3,TRBV73
TRBV18	TCRBV18S1
MAPK8IP1P2	--
MOXD2P	MOXD2
NSFP1	NSFP
WNT3	INT4,MGC131950,MGC138321,MGC138323,TETAMS
CES1	HMSE,CES2,SES1,CEH,HMSE1,CES1A1,CES1A2,Egasyn,HCE-1,ACAT,CE-1,REH,TGH,PCE-1
PRSS1	TRY1,Beta-Trypsin,Trypsin-1,TRYP1,TRP1,TRY4
AZU1	HBP,HUMAZUR,CAP37,AZAMP,NAZC,AZU,Azurocidin,HHBP
DDT	MIF-2,DDCT,MIF2,D-DT
LRRC37A2	FLJ45049,LRRC37
DND1P1	--
ARHGAP27	CAMGAP1,SH3P20,SH3D20,FLJ43547,PP905
PRTN3	PR-3,AGP7,P29,Myeloblastin,C-ANCA,ACPA,MBT,NP-4,MBN,PR3,CANCA,NP4
PRPF8	PRPC8,SNRNP220,HPrp8,Prp8,RP13,P220,HPRP8,PRP8
TRBV23-1	TCRBV19S1P,TCRBV23S1,TRBV231
TRBV5-4	TCRBV5S6A3N2T,TCRBV5S4,TRBV54
GSTT1	--
PRSS3P2	TRY6,T6
HLA-W	HLA-80
HCG4B	BPG309N1.1,BQB90C11.3,BCX67J3.3,HCGIV-06,HCGIV-6,HCGIV.5,Em:AB023056.16,HCG4P6,NONHSAG043380.2,NONHSAG045861.2,NONHSAG046555.2,NONHSAG045668.2,NONHSAG046379.2,NONHSAG045560.2,NONHSAG046046.2,NONHSAG045554.2,NONHSAG046205.2,NONHSAG046563.2,NONHSAG045660.2,NONHSAG046372.2,NONHSAG046038.2,NONHSAG045852.2,HSALNG0049111,HSALNG0141611,HSALNG0049098,HSALNG0049095,Lnc-RNF39-13,Lnc-RNF39-4
OR6V1	GPR138
NCR3	NKp30,1C7,CD337,LY117,NK-P30,MALS
HCG27	BPG299F13.9,BQB115I13.2,BCX101P6.9,FLJ40123,NONHSAG046247.2,NONHSAG046434.2,NONHSAG043461.2,NONHSAG045726.2,NONHSAG045916.2,NONHSAG046605.2,HSALNG0049246,HCG27
OR9P1P	OR9P2P
PGBD4P1	--
TRBJ1-4	TCRBJ1S4,TRBJ14
OR12D1	Hs6M1-19,OR12D1P
NRM	NRM29
MGAM2	--
PLPPR3	PRG-2,LPPR3,PRG2,FLJ11535,LPR3,PHP2
PSORS1C2	SPR1,C6orf17
HCP5	D6S2650E,P5-1,NONHSAG046615.2,NONHSAG045740.2,NONHSAG045736.2,NONHSAG045923.2,NONHSAG043479.2,NONHSAG046255.2,NONHSAG046446.2,NONHSAG046619.2,HSALNG0049271,HSALNG0049264,6S2650E,HCP5
MED16	DRIP92,TRAP95,THRAP5,Trap95
TRIM39	RNF23,TFP,TRIM39B
MAPT-IT1	NONHSAG022010.2,MAPT-IT1
MAPT	MTBT1,PPP1R103,FTDP-17,MTBT2,MAPTL,PPND,MSTD,TAU,MGC138549,FLJ31424,PHF-Tau,Tau-40,DDPAC,Tau
MIF-AS1	MIF-AS,LOC284889,NONHSAG033495.2,HSALNG0134448,MIF-AS1
GSTT2	--
DDX39BP2	BPG309N1.15,BAT1P2
AGPAT1	LPAAT-Alpha,G15,1-AGPAT1,LPAATA
LENG8	KIAA1932,Pp13842,MGC40108
PRPF31	HPrp31,PRP31,NY-BR-99,SNRNP61,RP11
OR9A2	--
TRBV13	TCRBV23S1A2T,TCRBV13S1
ELANE	HLE,Medullasin,ELA2,HNE,NE,Elastase-2,PMN-E,SCN1,GE
TRBV28	TCRBV3S1,TCRBV28S1
TRBJ2-2	TCRBJ2S2,TRBJ22
IGKV1D-8	IGKV1D8,L24a,L24
EPHB6	HEP,EphB6
CHCHD10	C22orf16,N27C7-4,MIX17A,FTDALS2,IMMD,SMAJ
IGKV3D-7	IGKV3D7,L25
IGKV1OR2-118	IGKV1/OR2-118
PRH2	Pr,PRP-1/PRP-2,Pr1/Pr2,PIF-S,Db-S,Pa
MICD	PERB11.4
CFD	ADN,PFD,DF,Adipsin,ADIPSIN
GSTT4	HS322B1A,GSTTP1
OR2G1P	Hs6M1-25,OST619,OR6-22
ABHD16A	NG26,D6S82E,BAT5,HBAT5,PP199,G5
WASF5P	Em:D84394.5
PTMAP1	Em:AB023049.6
HLA-V	DJ377H14.4,HLA-75
TAS2R30	T2R30,TAS2R47,T2R47
DDTL	KB-226F1.2,DDT
TAS2R19	TAS2R23,TAS2R48,T2R19,T2R23,T2R48,MSTP058
TAS2R8	T2R8,TRB5
TAS2R7	T2R7,TRB4
MMP11	STMY3,Stromelysin-3,SL-3,ST3,MMP-11
TAS2R50	T2R51,T2R50,TAS2R51
TAS2R43	T2R52,T2R43
TAS2R14	T2R14,TRB1
TAS2R9	T2R9,TRB6
TAS2R45	ZG24P,GPR59,T2R45
LY6G6F	NG32,C6orf21,LY6G6D,G6f,LY6G6,G6F
TAS2R31	T2R31,T2R53,TAS2R44,T2R44
TAS2R13	T2R13,TRB3
TAS2R46	T2R54,T2R46
TTYH1	HTTY1
TAS2R20	T2R56,TAS2R49,T2R20,T2R49
TAS2R15P	T2R15,PS8,TAS2R15
PRR4	LPRP,PROL4
LINC01149	XXbac-BPG181B23.4,NONHSAG043480.2,HSALNG0049268,LINC01149
MCCD1P2	BPG309N1.16
PSMB9	RING12,PSMB6i,Beta1i,LMP2,PRAAS3
DDAH2	G6A,Dimethylargininase-2,DDAHII,DDAH,NG30,HEL-S-277,DDAH-2,G6a
PTPRN2	Phogrin,ICAAR,KIAA0387,IA-2beta,R-PTP-N2,IAR,PTPRP
PPP1R11	HCGV,CFAP255,HCG-V,TCTE5,Tctex5,Inhibitor-3,TCTEX5,IPP3
TJP1	ZO-1,DKFZp686M05161,MGC133289,ZO1
GSTT2B	GSTT2P,GSTT2
GSDMD	GSDMDC1,DF5L,Gasdermin-D,FLJ12150,DFNA5L,FKSG10
WNT9B	WNT14B,WNT15
TCF19	SC1,TCF-19
MAPT-AS1	NONHSAG022009.2,NONHSAG023139.2,HSALNG0116897,MAPT-AS1
SALL3	ZNF796,HSALL3
NCF4-AS1	CTA-833B7.2,NONHSAG033849.2,HSALNG0135254,NCF4-AS1
RN7SL268P	--
LINC02210-CRHR1	CRHR1-IT1-CRHR1,MGC57346-CRHR1
NCF4	SH3PXD4,P40phox,P40-Phox,NCF-4,P40PHOX,CGD3,NCF
MAPK8IP1P1	MAPK8IPP,PRKM8IPP
SMIM10L1	--
LRRC37A4P	FLJ10120,LRRC37A4,LRRC37
TAS2R64P	T2R64P,T2R64,PS2
TAS2R10	T2R10,TRB2
NSF	SEC18,SKD2,DEE96
TAS2R63P	T2R63,PS6
LINC01896	NONHSAG024232.2,HSALNG0122724,LINC01896
RPL7P4	Em:AB023049.2,RPL7_10_678
SERPINF2	AAP,Alpha-2-Antiplasmin,ALPHA-2-PI,A2AP,API,PLI,Alpha-2-AP,Alpha2AP,Alpha-2-PI
PSORS1C3	NCRNA00196,NONHSAG043458.2,HSALNG0049245,Lnc-POU5F1-8,PSORS1C3
ATP9B	ATPIIB,NEO1L,HUSSY-20,ATPASEP,HMMR1
RPL7AP7	DJ377H14.2,RPL7B,RPL7A_13_677
LTB	TNFSF3,TNFC,P33,Lymphotoxin-Beta,LT-Beta,TNF-C,TNLG1C
PVALB	D22S749
ATP6V1G3	ATP6G3,Vma10
SAPCD1	NG23,C6orf26,G7D
BDH1	SDR9C1,BDH
MTRNR2L6	HN6
TRBV6-5	TCRBV13S1,TCRBV6S5,TRBV65
TRBV14	TCRBV16S1A1N1,TCRBV14S1
TMPOP1	Em:AB014080.3,TMPOL1
TRBV12-1	TCRBV12S1,TCRBV8S4P,TRBV121
TRBV4-2	TCRBV7S3A2T,TCRBV4S2,TRBV42,TCRBV7S3A2
TRBV5-1	TCRBV5S1A1T,TCRBV5S1,TRBV51
PTPRC	T200,GP180,CD45,LCA,L-CA,CD45R,B220,LY5
TRBJ2-6	TCRBJ2S6,TRBJ26
TRBV7-7	TCRBV6S6A2T,TCRBV7S7,TRBV77
TRBV2	TCRBV22S1A2N1T,TCRBV2S1
MGAM	MGA,Alpha-Glucosidase,MGAML,MG
SCGB1C2	SCGB1C1
NDUFB9P1	--
LINC02570	XXbac-BPG27H4.8,NONHSAG046082.2,NONHSAG043436.2,NONHSAG046231.2,NONHSAG045897.2,HSALNG0049203,HSALNG0049199,Lnc-IER3-15
GUSBP1	SMA3
PLEKHM1	KIAA0356,AP162,OPTA3,OPTB6,B2
RN7SL105P	--
LINC02091	NONHSAG020396.2,HSALNG0113700,LINC02091
TAF9	TAFII31,TAFII32,TAFIID32,TAF2G,STAF31/32,TAFII-31,TAFII-32,MGC5067,CGI-137,MGC1603,MGC3647,AD-004,MGC:5067
MTCO3P1	U92032.1
HLA-DQB3	D6S205E,D6S205,DQB3,DVB,HLA-DVB,DVbeta
TAP1	RING4,PSF1,D6S114E,ABCB2,PSF-1,APT1,TAP1*0102N,ABC17,TAP1N,Y3
TNXA	XA,D6S103E,HXBL,TNX,TN-XA
HLA-DRB4	HLA-DRB4*,HLA-DR4B,DRB4,DR4
C2	ARMD14,CO2
TRBV16	TCRBV25S1A2PT,TCRBV16S1,BV25S1J1.2,TCRBV25S1,TCRB
TRBVB	TCRBV34S1
TRBV6-1	TCRBV13S3,TCRBV6S1,TRBV61
PRSS58	TRYX3,Trypsin-X3,TRY1,UNQ2540,PRSS1
ZC3H3	KIAA0150,ZC3HDC3,SMICL
KRT31	KRTHA1,Ha-1,K31,Keratin-31,HHa1,HHA1,HKA1,HA1
RAD17	CCYC,RAD17Sp,Rad24,R24L,RAD17SP,HRAD17,HRad17,RAD24
PYCR3	PYCRL,FLJ13852
CRHR1	CRF-R,CRF1,CRHR,CRF-R-1,CRH-R-1,CRF-R1,CRFR-1,CRH-R1,CRFR1,CRHR1L,CRFR
TBC1D3P7	--
KRT33A	KRTHA3A,Krt1-3,Ha-3I,K33A,Keratin-33A,HHa3-I,HHA3-I,HKA3A,HA3I
TRBV24-1	TCRBV15S1,TCRBV24S1,TRBV241
GOLGA8J	--
TRBJ2-7	TCRBJ2S7,TRBJ27
TRBJ1-3	TCRBJ1S3,TRBJ13
POLR1H	Tctex-6,HTEX-6,HZR14,RPA12,A12.2,ZNRD1,TCTEX6,HTEX6,Rpa12,TEX6,ZR14
TRBVA	TCRBV33S1
TRBV26	TCRBV28S1P,TCRBV26S1
OR6W1P	Sdolf,OR6W1
TRBV4-1	TCRBV7S1A1N2T,BV07S1J2.7,TCRBV4S1,TRBV41
TRBC2	TCRBC2
OR10A3	HTPCRX12,HSHTPCRX12
TRBV8-1	TCRBV30S1P,TCRBV8S1P,TRBV81
OR5P2	JCG3,JCG4
TRBV22-1	TCRBV29S1P,TCRBV22S1,TRBV22
KRT37	KRTHA7,K37,Keratin-37,HHA7,HKA7,HA7
TRBV10-3	TCRBV12S1A1N2,TCRBV10S3,TRBV103
OR5E1P	HSTPCR24,TPCR24,OR5E1
OR5P3	JCG1
GREM1	DAND2,DRM,CKTSF1B1,HMPS,Gremlin-1,Gremlin,CRAC1,IHG-2,C15DUPq,GREMLIN,DUP15q,CRCS4,HMPS1,MPSH,PIG2
TRBJ1-1	TCRBJ1S1,TRBJ11
OR10A6	OR11-96
